21;Fundacio Acè;http://www.fundacioace.com/;12126;Clinical, demographic, cognitive abilities, epidemiological, genetics, bio-bank.;NoE;Yes;Yes;No;Yes;Yes;Yes;No;No;No;Yes;NDD;Mercè Boada;mboada@fundacioace.com;Restricted access - External investigators wishing to access  Fundacio Acè data must submit a scientific proposal. The Fundacio Acè Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;Institut Català de Neurociències Aplicades;Private local storage resources and database;Population-based study;Yes;Unknown;Yes;Medium
22;HELLAD;https://www.facebook.com/pages/Hellenic-Epidemiological-Longitudinal-Investigation-of-Aging-and-Diet/1477218192495564?fref=ts;1225;Cross- sectional – Clinical, demographic, cognitive abilities, epidemiological.;Cross-sectional;Yes;Yes;No;Yes;Yes;No;No;No;No;No;NDD; Nikolaos Scarmeas;ns257@columbia.edu;Restricted access - External investigators wishing to access  HELLAD data must submit a scientific proposal. The HELLAD Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;Eginition Hospital, Athens;Private local storage resources and database;Population-based study;Yes;Unknown;No;Medium
23;H70;http://www.jpi-dataproject.eu/Home/Database/82?topicId=1;973;cross- sectional - clinical, demographic, cognitive abilities, epidemiological, biologic,genetic, imaging (CT), bio-bank.;Cross-sectional;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;NDD;Ingmar Skoog, Kaj Blennow, Boo Johanson.;ingmar.skoog@gu.se;Restricted access - External investigators wishing to access  H70 data must submit a scientific proposal. The H70 Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;Göteborg University;Private local storage resources and database;Healthy;Yes;Yes;Yes;High
24;SNACK-MRI Population Study;http://www.snac-k.se/;500;cross- sectional - clinical, demographic, cognitive abilities, epidemiological, biologic,genetic, imaging.;Cross-sectional;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Ageing;Laura Fratiglioni;laura.fratiglioni@ki.se;Restricted access - External investigators wishing to access  SNAC-K data must submit a scientific proposal. The SNAC-K Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;Karolinska Institutet;Private local storage resources and database;Population-based study;Yes;No;Unknown;High
25;BIG Project;http://www.cognomics.nl/big/big-database.html;2500;cross- sectional - clinical, demographic, cognitive abilities, epidemiological, genetic, imaging.;Cross-sectional;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;No;PSY-NDD;Barbara Franke;barbara.franke@radboudumc.nl;Restricted access - External investigators wishing to access  BIG data must submit a scientific proposal. The BIG Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term; Radboud University Nijmegen Medical Centre;Private local storage resources and database;Healthy;Yes;Yes;Unknown;Medium
26;De Nederlandse Studie naar Depressie en Angst (NESDA);http://www.nesda.nl/nesda-english/;2981;Longitudinal - clinical, demographic, cognitive abilities, epidemiological, biologic, genetic, imaging.;Longitudinal;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;PSY;B.W.J.H. Penninx;b.penninx@vumc.nl ;Restricted access - External investigators wishing to access  NESDA data must submit a scientific proposal. The NESDA Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;VU University Medical Center Department of Psychiatry;Private local storage resources and database;Depression and anxiety disorders;Yes;Yes;Unknown;High
27;SMART Study;http://www.ncbi.nlm.nih.gov.bibliosan.clas.cineca.it/pubmed/19675562;1232;Longitudinal - clinical, demographic, cognitive abilities, epidemiological, imaging.;Longitudinal;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;vascular brain damage and dementia;Y. van der Graaf;y.vandergraaf@umcutrecht.nl;Restricted access - External investigators wishing to access  SMART data must submit a scientific proposal. The SMART Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;Universitair Medisch Centrum Utrecht;Private local storage resources and database;Atherosclerotic disease;Yes;No;No;Medium
28;IHA-established Reykjavik Study;http://www.hjartarannsokn.is/index.aspx?GroupId=346;12000;Longitudinal - clinical, demographic, cognitive abilities, epidemiological, biologic, genetic, imaging, bio-bank.;Longitudinal;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;NDD;Vilmundur Gudnason, Tamara Harris, Lenore Launer.;v.gudnason@hjarta.is, launerL@nia.nih.gov, harris99@mail.nih.gov;Restricted access - External investigators wishing to access  IHA data must submit a scientific proposal. The IHA Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;Icelandic Heart Association, National Institute on Aging, Island;Private local storage resources and database;Cardiovascular disease;Yes;No;Yes;High
29;The BiDirect study;https://campus.uni-muenster.de/en/einrichtungen/epi-start/epi-forschung00/epi-projekte/bidirect/;2300;Longitudinal - clinical, demographic, cognitive abilities, epidemiological, biologic, imaging.;Longitudinal;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;PSY;Klaus Berger, Heike Wersching;bergerk@uni-muenster.de, werschin@uni-muenster.de.;Restricted access - External investigators wishing to access  BiDirect data must submit a scientific proposal. The BiDirect Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;Institute of Epidemiology and Social Medicine, University of Muenster;Private local storage resources and database;Depression;Yes;Unknown;Unknown;Medium
30;The German National Cohort - NAKO study;http://nako.de/wp-content/uploads/2015/10/2016-03-18_NAKO-Fact-Sheet-EN.pdf;200000;Longitudinal - clinical, demographic, cognitive abilities, epidemiological, biologic, genetic, imaging.;Longitudinal;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Ageing, metabolic, nutrition, lifestyle;KARL-HEINZ JÖCKEL; k-h.joeckel@uk-essen.de;Restricted access - External investigators wishing to access  NAKO data must submit a scientific proposal. The NAKO Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;Nationale Kohorte e.V., Am Taubenfeld 21/2, 69123 Heidelberg;Private local storage resources and database;Population-based study;Yes;Unknown;Unknown;High
31;The Vienna Trans-Danube Aging (VITA);http://www.alzrisk.org/cohort.aspx?cohortID=66&rfid=9;606;cross- sectional - clinical, demographic, cognitive abilities, epidemiological,biologic, imaging.;Cross-sectional;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;NDD;Peter Fischer, Gabor Kovacs.;peter.fischer2@wienkav.at, gabor.kovacs@meduniwien.ac.at, ;Restricted access - External investigators wishing to access  VITA data must submit a scientific proposal. The VITA Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;Institute of Neurology Medical University Vienna;Private local storage resources and database;Population-based study;Yes;No;Unknown;Medium
32;DEMINVALL ;http://bmcneurol.biomedcentral.com/articles/10.1186/1471-2377-12-86;2989;cross- sectional - clinical, demographic, cognitive abilities, epidemiological,biologic, genetic , imaging.;Cross-sectional;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;NDD;Miguel Angel Tola-Arribas;mtola.nrl@gmail.com;Restricted access - External investigators wishing to access  DEMINVALL data must submit a scientific proposal. The DEMINVALL Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;"Hospital Universitario ""Rio Hortega"" · Department of Neurology - Spain · Valladolid";Private local storage resources and database;Population-based study;Yes;No;Unknown;High
33;IXI;http://brain-development.org/ixi-dataset/;600;clinical, demographic, imaging.;NoE;Yes;Yes;No;No;No;No;Yes;No;No;No;Healthy;Derek Hill, Jo Hajnal;derek.hill@ucl.ac.uk , jo.hajnal@kcl.ac.uk;Open access - downloading and analyzing IXI data from the database website is free.;Form not available on website;YES;Data mirrirong directly within MIP;short term;Imperial College London, South Kensington Campus, London ;Public local storage resources and database;Healthy;No;Yes;No;Low
34;Vallecas Project;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4588692/;1169;Longitudinal - clinical, demographic, cognitive abilities, epidemiological, biologic, genetic, imaging, bio-bank.;Longitudinal;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;NDD;Miguel Medina;mmedina@ciberned.es;Restricted access - External investigators wishing to access  Vallecas data must submit a scientific proposal. The Vallecas Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;CIBERNED;Private local storage resources and database;Healthy;Yes;Yes;Yes;High
35;PPMI;http://www.ppmi-info.org/;750;Clinical, demographic, cognitive abilities, epidemiological, biological, , imaging, bio-bank.;NoE;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;PDD;Ken Marek;kmarek@mnimaging.com;Restricted access - External investigators wishing to access  PPMI data must submit a scientific proposal. The PPMI Steering Committee reviews the application and authorized the data access.;"https://ida.loni.usc.edu/collaboration/access/appLicense.jsp;jsessionid=F5087523B00A8E1FD9200B15AD34A8B9";To be defined directly with the PI;Data mirrirong directly within MIP;medium/long term; Institute for Neurodegenerative Disorders, Yale;Image and Data Archive (IDA);Parkinson;Yes;Unknown;Yes;High
36;Banca Dati Clinica ;http://www.parkinson.it/banca-dati-clinica.html;26000;Longitudinal - clinical, demographic, epidemiological, biologic, genetic, imaging, bio-bank.;Longitudinal;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;PDD;Pezzoli Gianni;pezzoli@parkinson.it;Restricted access - External investigators wishing to access  Banca Dati Clinica data must submit a scientific proposal. The Banca Dati Clinica Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;Centro Parkinson ASST G. Pini-CTO, Milan;Private local storage resources and database;Parkinson;Yes;No;Yes;High
37;Amsterdam Dementia Cohort;https://www.ncbi.nlm.nih.gov/pubmed/24614907?dopt=Abstract&holding=npg;4000;Longitudinal - clinical, demographic, epidemiological, biologic, genetic, imaging, EEG, bio-bank.;Longitudinal;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;NDD;Wiesje M. van der Flier;wm.vdflier@vumc.nl;Restricted access - External investigators wishing to access Amsterdam Dementia Cohort data must submit a scientific proposal. The Amsterdam Dementia Cohort Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;VU University Medical Center, Amsterdam;Private local storage resources and database;Alzheimer;Yes;No;Yes;High
38;Gipuzkoa Alzheimer Project (Basque cohort);http://www.cita-alzheimer.org/projects/gipuzkoa-alzheimer-project-basque-cohort;408;Longitudinal - clinical, demographic, epidemiological, epidemiological, biologic, genetic, imaging.;Longitudinal;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;No;NDD;Pablo Martinez-Lage;pmlage@cita-alzheimer.org;Restricted access - External investigators wishing to access Gipuzkoa Alzheimer data must submit a scientific proposal. The Gipuzkoa Alzheimer Project Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;CITA-Alzheimer Foundation, San Sebastian;Private local storage resources and database;Population-based study;Yes;Yes;Unknown;Medium
