Selected varaibles;Category;Methodology Varaible;Description
Height*;Null;cm;Null
Weight*;Null;kg;Null
IMC*;Null;Null;Null
glucose*;Null;Null;Null
urea*;Null;Null;Null
creatinine*;Null;Null;Null
sodium*;Null;Null;Null
potassium*;Null;Null;Null
cholore*;Null;Null;Null
plasmatique proteins*;Null;Null;Null
albumine*;Null;Null;Null
calcium*;Null;Null;Null
phosphorus*;Null;Null;Null
uric acid*;Null;Null;Null
TGO*;Null;Null;Null
TGP*;Null;Null;Null
GGT*;Null;Null;Null
CPK*;Null;Null;Null
cholesterol*;Null;Null;Null
cholesterol HDL*;Null;Null;Null
cholesterol LDL*;Null;Null;Null
Cholesterol (HDL/LDL+VLDL)*;Null;Null;Null
triglycerides*;Null;Null;Null
prealbumine*;Null;Null;Null
sedimentaiton speed*;Null;Null;Null
leucocytes*;Null;Null;Null
erythrocytes*;Null;Null;Null
hemoglobin*;Null;Null;Null
hematocrit*;Null;Null;Null
VGM*;Null;Null;Null
TCMH*;Null;Null;Null
CCMH*;Null;Null;Null
plaquets*;Null;Null;Null
mean plasmatic volume*;Null;Null;Null
neutrophilic polynucleus*;Null;Null;Null
esoinophilic polynucleus*;Null;Null;Null
basophilic polynucleus*;Null;Null;Null
lyphocytes*;Null;Null;Null
monocytes*;Null;Null;Null
cephalin*;Null;Null;Null
quick time*;Null;Null;Null
prothrombine time*;Null;Null;Null
fibrinogen*;Null;Null;Null
TSH*;Null;Null;Null
vitamin B12*;Null;Null;Null
vitamin B1 *;Null;Null;Null
vitamin B6*;Null;Null;Null
vitamin PP*;Null;Null;Null
glycated hemoglobin*;Null;Null;Null
Abeta 42;Null;Null;Null
Abeta 40;Null;Null;Null
Tau;Null;Null;Null
phospho Tau;Null;Null;Null
IATI;Null;Null;Null
IRM*;Null;done or not done;Null
Scanner*;Imaging;done or not done;Null
SPET*;Imaging;done or not done;Null
PET*;Imaging;done or not done;Null
Biomarkers*;Null;done or not done;Null
Urine dipstick*;Null;postive, negative;Null
Abdomen radiography*;Null;postive, negative;Null
thorax radiography*;Null;postive, negative;Null
ECG*;Null;postive, negative;Null
vascular check up*;Null;postive, negative;Null
LP*;Null;postive, negative;Null
Dat scan*;Null;postive, negative;Null
Pet amyloide*;Null;postive, negative;Null
EEG*;Null;postive, negative;Null
polysomnographie*;Null;postive, negative;Null
ApoE;Null;Null;Null
PGRN;Null;Null;Null
C9ORF72;Null;Null;Null
Therapeutic trial*;Null;refused, agreed, currently in one;Null
Longitudinal study*;Null;refused, agreed, currently in one;Null
post mortem time limit;Null;hours;Null
hippocampical atrophy;Null;0, mild, moderate, severe;Null
temporal atrophy;Null;0, mild, moderate, severe;Null
parietal atrophy;Null;0, mild, moderate, severe;Null
frontal atrophy;Null;0, mild, moderate, severe;Null
occipital atrophy;Null;0, mild, moderate, severe;Null
ischemic cortical lesions;Null;yes no;Null
hemoragical lesions;Null;yes no;Null
deap lacuna;Null;yes no;Null
locus niger pallor;Null;0, mild, moderate, severe;Null
compatible with AD;Null;yes no;Null
Braak score;Null;0 I II III IV V VI;Null
Thal score;Null;from 0 to 5;Null
lewy bodies;Null;none, brain stem, limbical, neocortical, tonsillar;Null
NIA score;Null;from 0 to 3 on A B and C;Null
ayloid angiopathy;Null;none, focal, moderate or severe. Type 1 Type 2 or NA;Null
cerebrovacular score;Null;score /20;Null
other pathology;Null;free text;Null
right Scheltens score;Null;Null;Null
left Scheltens score;Null;Null;Null
Deep white matter lesions;Null;Null;Null
Periventricular lesions;Null;Null;Null
